Путь рубрики;Название рубрики;Типы объявления;Метка
/computers-devices/consumables/cartridges;Картриджи;Картриджи;cartridge
/computers-devices/consumables/paper_film;Бумага и пленка;Бумага и пленка;paper
/computers-devices/consumables/other;Другое;Другие расходные материалы;other_suppliers
;Комплектующие ;;
/computers-devices/hardware/motherboards;Материнские платы;Материнские платы;motherboard
/computers-devices/hardware/video_cards;Видеокарты;Видеокарты;videocard
/computers-devices/hardware/processors;Процессоры;Процессоры;processor
/computers-devices/hardware/cases;Корпуса;Корпуса ПК;pc_case
/computers-devices/hardware/psu;Блоки питания;Блоки питания ПК;power_supply
/computers-devices/hardware/memory_modules;Модули памяти;Модуль памяти ПК; pc_memory
/computers-devices/hardware/hard_drives;Жесткие диски (HDD и SSD);Жесткие диски (HDD и SSD);hdd
/computers-devices/hardware/fans;Вентиляторы;Вентиляторы ПК;pc_fan
/computers-devices/hardware/dvd;Blu-ray, CD-, DVD- и FDD-приводы;FDD-привод;fdd_drive
;;CD-привод;cd_drive
;;DVD-привод; dvd_drive
;;Blu-ray привод;blu-ray_drive
/computers-devices/hardware/sound_cards;Звуковые карты;Звуковые карты;souncard
/computers-devices/hardware/other;Другое;Другие компьютерные комплектующие;other_comp_complects
/computers-devices/network;Сетевое оборудование;Сетевое оборудование;network_equipment
;Программное обеспечение и игры ;;
/computers-devices/software_games/antiviruses;Антивирусы и безопасность; Антивирусы и безопасность ПО;antivirus
/computers-devices/software_games/databases;Базы данных;Базы данных;database
/computers-devices/software_games/accounting;Бухгалтерия;Бухгалтерские программы;finance
/computers-devices/software_games/web_design;Веб-дизайн;Веб-дизайн;web-design
/computers-devices/software_games/pc_games;Игры для pc;Игры для PC;pc_games
/computers-devices/software_games/office_software;Системные и офисные программы;Системные и офисные программы;system_soft
/computers-devices/software_games/programming;Программирование;Программирование;programming
/computers-devices/software_games/training_programs;Обучающие и справочные программы;Обучающие и справочные программы;courceware
/computers-devices/software_games/dictionaries_translators;Словари и переводчики;Словари и переводчики;dictionaries
/computers-devices/software_games/other_software;Другое по;Другое ПО;other_software
;Источники питания ;;
/computers-devices/power/ups;UPS;UPS;ups_filter
/computers-devices/power/network_filters_stabilizers;Сетевые фильтры и стабилизаторы;Сетевые фильтры и стабилизаторы;linefilter
/computers-devices/keyboards;Клавиатуры, мыши, игровые манипуляторы;Клавиатуры, мыши, игровые манипуляторы;keyboard
/computers-devices/computer_accessories;Компьютерные аксессуары;Аксессуары для компьютеров;access_comp
/computers-devices/repair;Ремонт и сервис компьютерной техники;Ремонт и сервис компьютерной техники;comp_repair_service
/computers-devices/other;Другое;Другая компьютерная техника;other_comp
;Телефоны и связь;;
;Мобильная связь;;
/communication/mobile/mobiles;Мобильные телефоны;Мобильные телефоны;mobile_phone
/communication/mobile/contracts;Контракты;Контракты на мобильную связь;mobile_contract
/communication/mobile/other;Другое;Другие мобильные телефоны;other_mobile
;Для дома и офиса ;;
/communication/office-and-home/radiotelephones;Радиотелефоны;Радиотелефоны;radiophone
/communication/office-and-home/stationary;Стационарные телефоны;Стационарные телефоны;table_phone
/communication/office-and-home/mini-pbx;Мини-АТС;Мини-АТС;mini_ASC
/communication/office-and-home/faxes;Факсы;Факсы;fax
/communication/devices;Рации, переговорные устройства;Рации, переговорные устройства;radiostation
/communication/accessories;Аксессуары для телефонов ; Аксессуары для телефонов;aceess_transmit
/communication/other;Другое;Другие телефоны и связь;other_phone
/communication/repair;Ремонт и сервис телефонов и средств связи ;Ремонт и сервис телефонов;phone_repair_service
;Фото, оптика;;
;Фототехника;;
/photo/phototechnics/digital;Фотоаппараты цифровые;Фотоаппараты цифровые;digital_photo
/photo/phototechnics/film;Фотоаппараты пленочные;Фотоаппараты пленочные;photo
/photo/phototechnics/flashes;Вспышки;Вспышки;lighter
/photo/phototechnics/tripods;Штативы;Штативы;tripod
/photo/phototechnics/lenses;Объективы;Объективы;objective
/photo/phototechnics/frames;Цифровые фоторамки;Цифровые фоторамки;digital_frame
/photo/phototechnics/accessories;Аксессуары для фототехники ;Аксессуары для фототехники;access_photo
/photo/phototechnics/other;Другое;Другая фототехника;other_photo
;Оптика ;;
/photo/optics/binoculars;Бинокли;Бинокли;binocular
/photo/optics/microscopes;Микроскопы;Микроскопы;microscope
/photo/optics/nightvision;Приборы ночного видения;Приборы ночного видения;noctovisor
/photo/optics/spyglasses;Подзорные трубы;Подзорные трубы;monocular
/photo/optics/telescopes;Телескопы;Телескопы;telescope
/photo/optics/accessories;Аксессуары для оптики ;Аксессуары для фотооптики; access_photooptic
/photo/optics/other;Другое;Другая оптика; other_photooptic
/photo/other;Другое;Другие фототовары; other_photoware
/photo/repair;Ремонт и сервис фототехники;Ремонт и сервис фототехники;photo_repair_service
;Строительство и ремонт;;
;Инструменты ;;
/building/instruments/saws;Пилы, электро, бензопилы;Пилы, электро, бензопилы;saw
/building/instruments/gas;Бензоинструменты;Бензопылесосы;benzopylesosy
;;Бензобуры;benzobury
;;Бензорезы;benzorezy
;;Другие бензоинструменты;other_fuel_instrument
/building/instruments/pneumatic;Пневмоинструменты;Пневмопылесосы; pnevmopylesosy
;;Пневмобормашины;pnevmobormashiny
;;Пневмокраскораспылители;pnevmokraskoraspredeliteli
;;Пневморубанки;pnevmorubanki
;;Пневмодолота;pnevmodolota
;;Пескоструйные пистолеты;peskostrujnyje_pistolety
;;Пневмостеплеры;pnevmosteplery
;;Другие пневмоинструменты;other_air_instrument
/building/instruments/handtools;Ручные инструменты;Ручные инструменты;hand_instrument
/building/instruments/measuring;Измерительные инструменты;Измерительные инструменты;measure_instrument
/building/instruments/gear;Оснастка к инструментам;Оснастка к инструментам;rigging
/building/instruments/stepladders;Стремянки, приставные лестницы;Стремянки;stepladder
/building/instruments/other;Прочее;Другие инструменты;other_instrum
/building/instruments/electric;Электроинструменты;Воздуходувки;vozdyhodyvki
;;Бормашины;bormashiny
;;Краскораспылители;kraskoraspyliteli
;;Электроножницы;electronoznicy
;;Электрорубанки;electrorybanki
;;Электростеплеры;electrosteplery
;;Точильные станки;tochilnyje_instruments
;;Термопистолеты;termopistolety
;;Штроборезы;shtroborezy
;;Фрезерные машины;frezernyje_mashiny
;;Дрели и шуруповерты;drill
;;Перфораторы;perforator
;;Лобзики;lobziki
;;Шлифовальные машины;polisher
;;Другие электроинструменты;other_electric_instrument
;Двери, окна, балконы, лестницы ;;
/building/elements/doors;Двери;Двери;doors
/building/elements/windows;Окна, балконы;Окна, балконы;window
/building/elements/ladders;Лестницы и их элементы;Лестницы и их элементы;ladder
/building/elements/accessories;Замки, фурнитура и комплектующие;Замки;doorlock
;;Комплектующие к замкам и фурнитуре;doorlock_access
;;Фурнитура;doorlock_furniture
;Материалы ;;
/building/materials/finishes;Облицовочные и отделочные;Облицовочные и отделочные;revetment
/building/materials/paints;Лакокрасочные;Лакокрасочные;colours
/building/materials/fasteners;Элементы крепежа;Крепеж;fastener
/building/materials/concrete;ЖБИ, бетон, кирпич, сухие смеси;Бетон;concrete
;;Кирпич;brick
;;Сыпучие стройматериалы и смеси;sand
;;ЖБИ;ferroconcrete
/building/materials/concrete;Лесопиломатериалы, столярные изделия;Пиломатериалы, столярные изделия;saw_material
/building/materials/metal;Металлопрокат, арматура, металлоизделия;Металлопрокат, арматура, металлоизделия;metal_rolls
/building/materials/roof-frontage;Кровельные и фасадные материалы;Кровельные и фасадные материалы;roof_front
/building/materials/isolation;Изоляционные материалы;Изоляционные материалы;isolation
/building/materials/glass;Стекло, стеклоизделия, светопрозрачные пластики;Стекло, стеклоизделия, светопрозрачные пластики;glass
/building/materials/other;Прочие;Другие строительные материалы;other_build_material
;Сантехника ;;
/building/plumbing/mixers;Смесители;Смесители;mixer_tap
/building/plumbing/sinks;Кухонные мойки;Кухонные мойки;sink
/building/plumbing/basins;Раковины, умывальники;Раковины, умывальники;honeycomb
/building/plumbing/toilets;Унитазы, писсуары, биде;Унитазы, писсуары, биде;bowl
